x,y,z
0.625,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.191
0.63,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.196
0.628,-0.783,-0.188
0.63,-0.786,-0.191
0.63,-0.783,-0.191
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.191
0.628,-0.783,-0.191
0.636,-0.783,-0.185
0.628,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.783,-0.191
0.63,-0.786,-0.188
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.63,-0.786,-0.188
0.636,-0.786,-0.188
0.636,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.63,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.78,-0.191
0.628,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.792,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.786,-0.191
0.63,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.786,-0.191
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.63,-0.783,-0.191
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.636,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.636,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.625,-0.786,-0.191
0.63,-0.783,-0.191
0.628,-0.783,-0.188
0.63,-0.78,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.191
0.636,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.191
0.628,-0.786,-0.191
0.625,-0.786,-0.191
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.63,-0.78,-0.188
0.63,-0.786,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.185
0.63,-0.783,-0.185
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.636,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.63,-0.786,-0.191
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.78,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.63,-0.783,-0.191
0.628,-0.783,-0.191
0.628,-0.792,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.792,-0.191
0.63,-0.783,-0.191
0.625,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.78,-0.191
0.63,-0.786,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.185
0.63,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.78,-0.191
0.636,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.78,-0.188
0.63,-0.78,-0.188
0.63,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.783,-0.191
0.628,-0.783,-0.191
0.63,-0.786,-0.185
0.628,-0.783,-0.188
0.625,-0.783,-0.185
0.636,-0.786,-0.188
0.63,-0.783,-0.191
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.185
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.78,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.63,-0.78,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.625,-0.783,-0.191
0.636,-0.783,-0.191
0.625,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.636,-0.783,-0.185
0.63,-0.783,-0.185
0.63,-0.786,-0.185
0.628,-0.783,-0.185
0.63,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.792,-0.191
0.628,-0.783,-0.188
0.628,-0.78,-0.188
0.63,-0.786,-0.188
0.636,-0.783,-0.185
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.63,-0.786,-0.191
0.628,-0.792,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.191
0.625,-0.786,-0.188
0.63,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.786,-0.188
0.636,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.191
0.625,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.188
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.625,-0.795,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.191
0.625,-0.786,-0.191
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.625,-0.792,-0.188
0.628,-0.786,-0.185
0.63,-0.786,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.625,-0.783,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.191
0.628,-0.792,-0.191
0.625,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.625,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.191
0.628,-0.786,-0.185
0.628,-0.786,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.185
0.63,-0.792,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.78,-0.188
0.628,-0.783,-0.185
0.63,-0.786,-0.182
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.783,-0.188
0.636,-0.783,-0.188
0.636,-0.786,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.786,-0.185
0.63,-0.786,-0.185
0.63,-0.78,-0.188
0.63,-0.783,-0.188
0.636,-0.783,-0.185
0.63,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.185
0.63,-0.78,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.191
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.191
0.625,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.783,-0.185
0.63,-0.78,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.63,-0.792,-0.191
0.625,-0.786,-0.185
0.63,-0.786,-0.191
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.783,-0.185
0.628,-0.783,-0.191
0.625,-0.783,-0.185
0.628,-0.783,-0.191
0.628,-0.783,-0.185
0.628,-0.786,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.191
0.628,-0.786,-0.185
0.625,-0.786,-0.185
0.63,-0.786,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.625,-0.783,-0.185
0.636,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.185
0.63,-0.786,-0.188
0.63,-0.783,-0.185
0.63,-0.786,-0.185
0.636,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.786,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.786,-0.185
0.628,-0.792,-0.185
0.628,-0.783,-0.185
0.63,-0.783,-0.191
0.63,-0.783,-0.188
0.625,-0.786,-0.185
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.625,-0.783,-0.185
0.628,-0.786,-0.191
0.625,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.191
0.63,-0.792,-0.188
0.628,-0.783,-0.191
0.628,-0.783,-0.191
0.628,-0.783,-0.188
0.625,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.625,-0.786,-0.188
0.63,-0.783,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.625,-0.783,-0.185
0.63,-0.783,-0.188
0.625,-0.783,-0.185
0.636,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.625,-0.78,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.78,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.636,-0.786,-0.188
0.63,-0.783,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.792,-0.188
0.63,-0.786,-0.188
0.628,-0.78,-0.185
0.636,-0.783,-0.185
0.63,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.78,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.625,-0.783,-0.185
0.63,-0.783,-0.188
0.63,-0.78,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.636,-0.783,-0.185
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.625,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.182
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.63,-0.786,-0.185
0.628,-0.783,-0.185
0.63,-0.786,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.63,-0.783,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.636,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.783,-0.188
0.625,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.786,-0.191
0.63,-0.786,-0.188
0.628,-0.792,-0.188
0.63,-0.786,-0.191
0.636,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.625,-0.783,-0.188
0.628,-0.786,-0.188
0.63,-0.786,-0.188
0.628,-0.78,-0.185
0.63,-0.783,-0.185
0.628,-0.783,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.185
0.636,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.783,-0.188
0.625,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.185
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.651,-0.783,-0.182
0.622,-0.786,-0.191
0.628,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.625,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.191
0.63,-0.786,-0.188
0.625,-0.783,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.191
0.625,-0.786,-0.191
0.625,-0.783,-0.191
0.628,-0.792,-0.188
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.188
0.636,-0.786,-0.191
0.628,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.191
0.63,-0.783,-0.191
0.63,-0.783,-0.191
0.628,-0.786,-0.188
0.628,-0.786,-0.191
0.63,-0.783,-0.185
0.63,-0.783,-0.188
0.628,-0.792,-0.188
0.625,-0.786,-0.185
0.628,-0.786,-0.188
0.625,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.625,-0.783,-0.188
0.628,-0.783,-0.191
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.191
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.185
0.625,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.792,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.783,-0.191
0.63,-0.786,-0.191
0.625,-0.783,-0.188
0.628,-0.783,-0.185
0.625,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.786,-0.188
0.636,-0.783,-0.185
0.628,-0.783,-0.191
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.625,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.191
0.63,-0.786,-0.188
0.625,-0.783,-0.188
0.622,-0.786,-0.188
0.625,-0.78,-0.188
0.625,-0.786,-0.188
0.625,-0.786,-0.185
0.628,-0.786,-0.191
0.628,-0.792,-0.188
0.628,-0.783,-0.191
0.63,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.783,-0.191
0.63,-0.783,-0.188
0.628,-0.783,-0.191
0.628,-0.792,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.628,-0.786,-0.191
0.628,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.786,-0.191
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.792,-0.188
0.625,-0.783,-0.191
0.625,-0.786,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.636,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.191
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.185
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.63,-0.783,-0.185
0.63,-0.786,-0.188
0.625,-0.783,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.63,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.191
0.625,-0.783,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.185
0.628,-0.783,-0.188
0.628,-0.783,-0.185
0.628,-0.783,-0.188
0.625,-0.786,-0.185
0.63,-0.786,-0.185
0.63,-0.786,-0.185
0.628,-0.786,-0.188
0.63,-0.786,-0.188
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.63,-0.786,-0.185
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.792,-0.188
0.628,-0.792,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.625,-0.783,-0.188
0.63,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.191
0.63,-0.78,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.628,-0.783,-0.188
0.63,-0.783,-0.188
0.628,-0.783,-0.188
0.625,-0.786,-0.185
0.625,-0.786,-0.185
0.625,-0.786,-0.185
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.792,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.185
0.636,-0.786,-0.185
0.63,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
0.628,-0.783,-0.188
0.625,-0.786,-0.188
0.628,-0.786,-0.185
0.628,-0.786,-0.188
0.63,-0.783,-0.185
0.625,-0.786,-0.185
0.63,-0.792,-0.188
0.628,-0.783,-0.185
0.628,-0.786,-0.191
0.625,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.628,-0.786,-0.188
0.625,-0.786,-0.188
0.628,-0.783,-0.188
0.628,-0.783,-0.188
0.628,-0.786,-0.188
